dataset,column,display_name,category,role,split_type,split_value,data_type,unit,definition
picks_offense,handler_assist_2pt,Ball Handler - Assists to 2PT,Playmaking,Ball Handler,,,integer,events,Assists leading to a made two-pointer out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_assist_3pt,Ball Handler - Assists to 3PT,Playmaking,Ball Handler,,,integer,events,Assists leading to a made three-pointer out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_assist_to_screener,Ball Handler - Assists to Screener,Playmaking,Ball Handler,,,integer,events,Assists delivered to the screener (roll / pop finish) out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_assist_to_other,Ball Handler - Assists to Others,Playmaking,Ball Handler,,,integer,events,"Assists delivered to a player other than the screener (kick-out, weak-side skip) out of picks where the player was the ball handler using the on-ball screen."
picks_offense,handler_pass,Ball Handler - Passes,Playmaking,Ball Handler,,,integer,events,"Passes made out of the pick action by the player as the ball handler using the on-ball screen, whether or not they led to a shot."
picks_offense,handler_pass_to_screener,Ball Handler - Passes to Screener,Playmaking,Ball Handler,,,integer,events,Passes delivered to the screener out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_pass_to_other,Ball Handler - Passes to Others,Playmaking,Ball Handler,,,integer,events,Passes delivered to a player other than the screener out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_successful_pick,Ball Handler - Successful Picks,Outcome,Ball Handler,,,integer,events,"Picks classified as successful for the offence (advantage created: separation, downhill drive, open shot or scoring chance) where the player was the ball handler using the on-ball screen."
picks_offense,handler_unsuccessful_pick,Ball Handler - Unsuccessful Picks,Outcome,Ball Handler,,,integer,events,Picks classified as unsuccessful for the offence (no advantage created) where the player was the ball handler using the on-ball screen.
picks_offense,handler_assist_opportunity,Ball Handler - Assist Opportunities,Playmaking,Ball Handler,,,integer,events,"Passes out of the pick that created a shot attempt for a teammate, whether or not the shot went in, where the player was the ball handler using the on-ball screen."
picks_offense,handler_assist_opportunity_to_screener,Ball Handler - Assist Opportunities to Screener,Playmaking,Ball Handler,,,integer,events,Assist opportunities created for the screener out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_assist_opportunity_to_other,Ball Handler - Assist Opportunities to Others,Playmaking,Ball Handler,,,integer,events,Assist opportunities created for a player other than the screener out of picks where the player was the ball handler using the on-ball screen.
picks_offense,handler_shot_taken,Ball Handler - Picks Ending in a Shot,Outcome,Ball Handler,,,integer,events,Picks that ended with a shot attempt by the player himself as the ball handler using the on-ball screen.
picks_offense,handler_only_pass_pick,Ball Handler - Pass-Only Picks,Outcome,Ball Handler,,,integer,events,"Picks where the player as the ball handler using the on-ball screen only passed the ball out of the action, without shooting or turning it over."
picks_offense,handler_no_outcome_pick,Ball Handler - No-Outcome Picks,Outcome,Ball Handler,,,integer,events,"Picks that produced no direct outcome (no shot, pass, turnover or foul attributable to the action) where the player was the ball handler using the on-ball screen. Note: this column is 0 for every player in this release."
picks_offense,handler_picks_vs_blitz,Ball Handler - Picks (vs Blitz),Volume,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Number of on-ball screens the player was involved in as the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_points_vs_blitz,Ball Handler - Points (vs Blitz),Scoring,Ball Handler,Defensive coverage,vs Blitz,integer,points,"Points generated by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball): his own field goal points plus free throws made plus the points scored by teammates on his assists out of the action. Verified: handler_points = 2*score_2pt + 3*score_3pt + ft_mades_in_pick + 2*assist_2pt + 3*assist_3pt."
picks_offense,handler_score_vs_blitz,Ball Handler - Made Shots (vs Blitz),Scoring,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Number of made field goals by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_miss_vs_blitz,Ball Handler - Missed Shots (vs Blitz),Scoring,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Number of missed field goals by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_score_2pt_vs_blitz,Ball Handler - Made 2PT (vs Blitz),Scoring,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Made two-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_score_3pt_vs_blitz,Ball Handler - Made 3PT (vs Blitz),Scoring,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Made three-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_miss_2pt_vs_blitz,Ball Handler - Missed 2PT (vs Blitz),Scoring,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Missed two-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_miss_3pt_vs_blitz,Ball Handler - Missed 3PT (vs Blitz),Scoring,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Missed three-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_assist_vs_blitz,Ball Handler - Assists (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Assists delivered by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_turnover_vs_blitz,Ball Handler - Turnovers (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Turnovers committed by the player on picks where he was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_foul_vs_blitz,Ball Handler - Fouls Drawn (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Defensive fouls drawn by the player on picks where he was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_pass_vs_blitz,Ball Handler - Passes (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Passes made out of the pick action by the player as the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball), whether or not they led to a shot."
picks_offense,handler_block_vs_blitz,Ball Handler - Shots Blocked (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Shots by the player that were blocked on picks where he was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_successful_pick_vs_blitz,Ball Handler - Successful Picks (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Picks classified as successful for the offence (advantage created: separation, downhill drive, open shot or scoring chance) where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_unsuccessful_pick_vs_blitz,Ball Handler - Unsuccessful Picks (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Picks classified as unsuccessful for the offence (no advantage created) where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_assist_opportunity_vs_blitz,Ball Handler - Assist Opportunities (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Passes out of the pick that created a shot attempt for a teammate, whether or not the shot went in, where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_shot_taken_vs_blitz,Ball Handler - Picks Ending in a Shot (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Picks that ended with a shot attempt by the player himself as the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_only_pass_pick_vs_blitz,Ball Handler - Pass-Only Picks (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Picks where the player as the ball handler using the on-ball screen only passed the ball out of the action, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball), without shooting or turning it over."
picks_offense,handler_no_outcome_pick_vs_blitz,Ball Handler - No-Outcome Picks (vs Blitz),Outcome,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Picks that produced no direct outcome (no shot, pass, turnover or foul attributable to the action) where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball). Note: this column is 0 for every player in this release."
picks_offense,handler_assist_2pt_vs_blitz,Ball Handler - Assists to 2PT (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Assists leading to a made two-pointer out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_assist_3pt_vs_blitz,Ball Handler - Assists to 3PT (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Assists leading to a made three-pointer out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_assist_to_screener_vs_blitz,Ball Handler - Assists to Screener (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Assists delivered to the screener (roll / pop finish) out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_assist_to_other_vs_blitz,Ball Handler - Assists to Others (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Assists delivered to a player other than the screener (kick-out, weak-side skip) out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_assist_opportunity_to_screener_vs_blitz,Ball Handler - Assist Opportunities to Screener (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Assist opportunities created for the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_assist_opportunity_to_other_vs_blitz,Ball Handler - Assist Opportunities to Others (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Assist opportunities created for a player other than the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_pass_to_screener_vs_blitz,Ball Handler - Passes to Screener (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Passes delivered to the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_pass_to_other_vs_blitz,Ball Handler - Passes to Others (vs Blitz),Playmaking,Ball Handler,Defensive coverage,vs Blitz,integer,events,"Passes delivered to a player other than the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence blitzes / traps the ball handler (two defenders hard on the ball)."
picks_offense,handler_picks_vs_switch,Ball Handler - Picks (vs Switch),Volume,Ball Handler,Defensive coverage,vs Switch,integer,events,"Number of on-ball screens the player was involved in as the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_points_vs_switch,Ball Handler - Points (vs Switch),Scoring,Ball Handler,Defensive coverage,vs Switch,integer,points,"Points generated by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen: his own field goal points plus free throws made plus the points scored by teammates on his assists out of the action. Verified: handler_points = 2*score_2pt + 3*score_3pt + ft_mades_in_pick + 2*assist_2pt + 3*assist_3pt."
picks_offense,handler_score_vs_switch,Ball Handler - Made Shots (vs Switch),Scoring,Ball Handler,Defensive coverage,vs Switch,integer,events,"Number of made field goals by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_miss_vs_switch,Ball Handler - Missed Shots (vs Switch),Scoring,Ball Handler,Defensive coverage,vs Switch,integer,events,"Number of missed field goals by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_score_2pt_vs_switch,Ball Handler - Made 2PT (vs Switch),Scoring,Ball Handler,Defensive coverage,vs Switch,integer,events,"Made two-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_score_3pt_vs_switch,Ball Handler - Made 3PT (vs Switch),Scoring,Ball Handler,Defensive coverage,vs Switch,integer,events,"Made three-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_miss_2pt_vs_switch,Ball Handler - Missed 2PT (vs Switch),Scoring,Ball Handler,Defensive coverage,vs Switch,integer,events,"Missed two-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_miss_3pt_vs_switch,Ball Handler - Missed 3PT (vs Switch),Scoring,Ball Handler,Defensive coverage,vs Switch,integer,events,"Missed three-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_assist_vs_switch,Ball Handler - Assists (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Assists delivered by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_turnover_vs_switch,Ball Handler - Turnovers (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Turnovers committed by the player on picks where he was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_foul_vs_switch,Ball Handler - Fouls Drawn (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Defensive fouls drawn by the player on picks where he was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_pass_vs_switch,Ball Handler - Passes (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Passes made out of the pick action by the player as the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen, whether or not they led to a shot."
picks_offense,handler_block_vs_switch,Ball Handler - Shots Blocked (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Shots by the player that were blocked on picks where he was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_successful_pick_vs_switch,Ball Handler - Successful Picks (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Picks classified as successful for the offence (advantage created: separation, downhill drive, open shot or scoring chance) where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_unsuccessful_pick_vs_switch,Ball Handler - Unsuccessful Picks (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Picks classified as unsuccessful for the offence (no advantage created) where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_assist_opportunity_vs_switch,Ball Handler - Assist Opportunities (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Passes out of the pick that created a shot attempt for a teammate, whether or not the shot went in, where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_shot_taken_vs_switch,Ball Handler - Picks Ending in a Shot (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Picks that ended with a shot attempt by the player himself as the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_only_pass_pick_vs_switch,Ball Handler - Pass-Only Picks (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Picks where the player as the ball handler using the on-ball screen only passed the ball out of the action, restricted to picks where the two defenders switch assignments on the screen, without shooting or turning it over."
picks_offense,handler_no_outcome_pick_vs_switch,Ball Handler - No-Outcome Picks (vs Switch),Outcome,Ball Handler,Defensive coverage,vs Switch,integer,events,"Picks that produced no direct outcome (no shot, pass, turnover or foul attributable to the action) where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen. Note: this column is 0 for every player in this release."
picks_offense,handler_assist_2pt_vs_switch,Ball Handler - Assists to 2PT (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Assists leading to a made two-pointer out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_assist_3pt_vs_switch,Ball Handler - Assists to 3PT (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Assists leading to a made three-pointer out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_assist_to_screener_vs_switch,Ball Handler - Assists to Screener (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Assists delivered to the screener (roll / pop finish) out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_assist_to_other_vs_switch,Ball Handler - Assists to Others (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Assists delivered to a player other than the screener (kick-out, weak-side skip) out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_assist_opportunity_to_screener_vs_switch,Ball Handler - Assist Opportunities to Screener (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Assist opportunities created for the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_assist_opportunity_to_other_vs_switch,Ball Handler - Assist Opportunities to Others (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Assist opportunities created for a player other than the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_pass_to_screener_vs_switch,Ball Handler - Passes to Screener (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Passes delivered to the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_pass_to_other_vs_switch,Ball Handler - Passes to Others (vs Switch),Playmaking,Ball Handler,Defensive coverage,vs Switch,integer,events,"Passes delivered to a player other than the screener out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the two defenders switch assignments on the screen."
picks_offense,handler_picks_vs_ice,Ball Handler - Picks (vs Ice),Volume,Ball Handler,Defensive coverage,vs Ice,integer,events,"Number of on-ball screens the player was involved in as the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_points_vs_ice,Ball Handler - Points (vs Ice),Scoring,Ball Handler,Defensive coverage,vs Ice,integer,points,"Points generated by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen: his own field goal points plus free throws made plus the points scored by teammates on his assists out of the action. Verified: handler_points = 2*score_2pt + 3*score_3pt + ft_mades_in_pick + 2*assist_2pt + 3*assist_3pt."
picks_offense,handler_score_vs_ice,Ball Handler - Made Shots (vs Ice),Scoring,Ball Handler,Defensive coverage,vs Ice,integer,events,"Number of made field goals by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_miss_vs_ice,Ball Handler - Missed Shots (vs Ice),Scoring,Ball Handler,Defensive coverage,vs Ice,integer,events,"Number of missed field goals by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_score_2pt_vs_ice,Ball Handler - Made 2PT (vs Ice),Scoring,Ball Handler,Defensive coverage,vs Ice,integer,events,"Made two-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_score_3pt_vs_ice,Ball Handler - Made 3PT (vs Ice),Scoring,Ball Handler,Defensive coverage,vs Ice,integer,events,"Made three-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_miss_2pt_vs_ice,Ball Handler - Missed 2PT (vs Ice),Scoring,Ball Handler,Defensive coverage,vs Ice,integer,events,"Missed two-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_miss_3pt_vs_ice,Ball Handler - Missed 3PT (vs Ice),Scoring,Ball Handler,Defensive coverage,vs Ice,integer,events,"Missed three-point field goals out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_assist_vs_ice,Ball Handler - Assists (vs Ice),Playmaking,Ball Handler,Defensive coverage,vs Ice,integer,events,"Assists delivered by the player out of picks where he was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_turnover_vs_ice,Ball Handler - Turnovers (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Turnovers committed by the player on picks where he was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_foul_vs_ice,Ball Handler - Fouls Drawn (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Defensive fouls drawn by the player on picks where he was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_pass_vs_ice,Ball Handler - Passes (vs Ice),Playmaking,Ball Handler,Defensive coverage,vs Ice,integer,events,"Passes made out of the pick action by the player as the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen, whether or not they led to a shot."
picks_offense,handler_block_vs_ice,Ball Handler - Shots Blocked (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Shots by the player that were blocked on picks where he was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_successful_pick_vs_ice,Ball Handler - Successful Picks (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Picks classified as successful for the offence (advantage created: separation, downhill drive, open shot or scoring chance) where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_unsuccessful_pick_vs_ice,Ball Handler - Unsuccessful Picks (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Picks classified as unsuccessful for the offence (no advantage created) where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_assist_opportunity_vs_ice,Ball Handler - Assist Opportunities (vs Ice),Playmaking,Ball Handler,Defensive coverage,vs Ice,integer,events,"Passes out of the pick that created a shot attempt for a teammate, whether or not the shot went in, where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_shot_taken_vs_ice,Ball Handler - Picks Ending in a Shot (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Picks that ended with a shot attempt by the player himself as the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_only_pass_pick_vs_ice,Ball Handler - Pass-Only Picks (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Picks where the player as the ball handler using the on-ball screen only passed the ball out of the action, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen, without shooting or turning it over."
picks_offense,handler_no_outcome_pick_vs_ice,Ball Handler - No-Outcome Picks (vs Ice),Outcome,Ball Handler,Defensive coverage,vs Ice,integer,events,"Picks that produced no direct outcome (no shot, pass, turnover or foul attributable to the action) where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen. Note: this column is 0 for every player in this release."
picks_offense,handler_assist_2pt_vs_ice,Ball Handler - Assists to 2PT (vs Ice),Playmaking,Ball Handler,Defensive coverage,vs Ice,integer,events,"Assists leading to a made two-pointer out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
picks_offense,handler_assist_3pt_vs_ice,Ball Handler - Assists to 3PT (vs Ice),Playmaking,Ball Handler,Defensive coverage,vs Ice,integer,events,"Assists leading to a made three-pointer out of picks where the player was the ball handler using the on-ball screen, restricted to picks where the defence ices (down / blue) the screen, forcing the handler to the sideline and away from the screen."
